id,timestamp,google_latency,google_packet_loss,google_bandwidth,google_quality_score,youtube_latency,youtube_packet_loss,youtube_bandwidth,youtube_quality_score,combined_speed,network_score,network_status,congestion_prediction,created_at
39,2026-05-15 14:15:54,77.8,0.0,0.6,45,70.0,33.3,0.5,40,1.1,73.8,GOOD,0,2026-05-15 14:15:54
38,2026-05-15 14:15:52,77.8,0.0,0.6,45,70.0,33.3,0.5,40,1.1,73.8,GOOD,0,2026-05-15 14:15:52
37,2026-05-15 14:15:36,77.8,0.0,0.6,45,70.0,33.3,0.5,40,1.1,73.8,GOOD,0,2026-05-15 14:15:36
36,2026-05-15 14:15:34,77.8,0.0,0.6,45,70.0,33.3,0.5,40,1.1,73.8,GOOD,0,2026-05-15 14:15:34
35,2026-05-15 14:15:32,77.8,0.0,0.6,45,70.0,33.3,0.5,40,1.1,73.8,GOOD,0,2026-05-15 14:15:32
34,2026-05-15 14:15:27,77.8,0.0,0.6,45,70.0,33.3,0.5,40,1.1,73.8,GOOD,0,2026-05-15 14:15:27
33,2026-05-15 14:15:25,77.8,0.0,0.6,45,70.0,33.3,0.5,40,1.1,73.8,GOOD,0,2026-05-15 14:15:25
32,2026-05-15 14:15:00,77.8,0.0,0.6,45,70.0,33.3,0.5,40,1.1,73.8,GOOD,0,2026-05-15 14:15:00
31,2026-05-15 14:14:56,77.8,0.0,0.6,45,70.0,33.3,0.5,40,1.1,73.8,GOOD,0,2026-05-15 14:14:56
30,2026-05-15 14:14:54,77.8,0.0,0.6,45,70.0,33.3,0.5,40,1.1,73.8,GOOD,0,2026-05-15 14:14:54
29,2026-05-15 14:14:51,57.7,0.0,0.9,52,61.0,0.0,0.8,70,1.7,79.0,GOOD,0,2026-05-15 14:14:51
28,2026-05-15 14:10:31,57.3,0.0,0.9,52,63.3,0.0,0.8,70,1.7,79.0,GOOD,0,2026-05-15 14:10:31
27,2026-05-15 14:10:17,57.3,0.0,0.9,52,63.3,0.0,0.8,70,1.7,79.0,GOOD,0,2026-05-15 14:10:17
26,2026-05-15 14:10:09,57.3,0.0,0.9,52,63.3,0.0,0.8,70,1.7,79.0,GOOD,0,2026-05-15 14:10:09
25,2026-05-15 14:09:19,53.7,0.0,0.9,53,53.0,0.0,0.9,70,1.9,79.0,GOOD,0,2026-05-15 14:09:19
24,2026-05-15 14:09:00,53.7,0.0,0.9,53,53.0,0.0,0.9,70,1.9,79.0,GOOD,0,2026-05-15 14:09:00
23,2026-05-15 14:08:41,59.2,0.0,0.8,51,122.3,0.0,0.4,42,1.3,74.8,GOOD,0,2026-05-15 14:08:41
22,2026-05-15 13:54:07,73.0,0.0,0.7,47,67.7,0.0,0.7,70,1.4,79.0,GOOD,0,2026-05-15 13:54:07
21,2026-05-15 13:53:58,73.0,0.0,0.7,47,67.7,0.0,0.7,70,1.4,79.0,GOOD,0,2026-05-15 13:53:58
20,2026-05-15 13:53:46,73.0,0.0,0.7,47,67.7,0.0,0.7,70,1.4,79.0,GOOD,0,2026-05-15 13:53:46
19,2026-05-15 13:53:35,73.0,0.0,0.7,47,67.7,0.0,0.7,70,1.4,79.0,GOOD,0,2026-05-15 13:53:35
18,2026-05-15 13:53:33,73.0,0.0,0.7,47,67.7,0.0,0.7,70,1.4,79.0,GOOD,0,2026-05-15 13:53:33
17,2026-05-15 13:53:12,132.7,0.0,0.4,37,103.0,0.0,0.5,46,0.9,65.0,GOOD,0,2026-05-15 13:53:12
16,2026-05-15 13:52:31,132.7,0.0,0.4,37,103.0,0.0,0.5,46,0.9,65.0,GOOD,0,2026-05-15 13:52:31
15,2026-05-15 13:52:23,132.7,0.0,0.4,37,103.0,0.0,0.5,46,0.9,65.0,GOOD,0,2026-05-15 13:52:23
14,2026-05-15 13:52:13,177.3,16.7,0.2,5,66.7,0.0,0.8,70,1.0,66.8,GOOD,0,2026-05-15 13:52:13
13,2026-05-15 13:50:22,72.3,0.0,0.7,47,61.0,0.0,0.8,70,1.5,79.0,GOOD,0,2026-05-15 13:50:22
12,2026-05-15 13:49:39,56.7,0.0,0.9,52,52.0,0.0,1.0,70,1.8,79.0,GOOD,0,2026-05-15 13:49:39
11,2026-05-15 13:43:50,79.2,0.0,0.6,45,58.7,0.0,0.9,70,1.5,79.0,GOOD,0,2026-05-15 13:43:50
10,2026-05-15 13:43:47,79.2,0.0,0.6,45,58.7,0.0,0.9,70,1.5,79.0,GOOD,0,2026-05-15 13:43:47
9,2026-05-15 13:43:40,79.2,0.0,0.6,45,58.7,0.0,0.9,70,1.5,79.0,GOOD,0,2026-05-15 13:43:40
8,2026-05-15 13:42:55,47.0,0.0,1.0,70,114.7,0.0,0.4,44,1.4,72.0,GOOD,0,2026-05-15 13:42:55
7,2026-05-15 13:41:37,68.2,16.7,0.6,18,52.5,33.3,0.6,40,1.2,65.0,GOOD,0,2026-05-15 13:41:37
6,2026-05-15 13:40:49,54.5,0.0,0.9,53,55.0,0.0,0.9,70,1.8,79.0,GOOD,0,2026-05-15 13:40:49
5,2026-05-15 13:24:02,58.0,0.0,0.9,52,81.7,0.0,0.6,51,1.5,79.0,GOOD,0,2026-05-15 13:24:02
4,2026-05-14 14:54:09,53.7,0.0,0.9,53,55.0,0.0,0.9,70,1.8,79.0,GOOD,0,2026-05-14 14:54:09
3,2026-05-14 14:42:21,56.5,0.0,0.9,52,58.7,0.0,0.9,70,1.7,79.0,GOOD,0,2026-05-14 14:42:21
2,2026-05-13 21:04:07,99.8,0.0,0.5,38,174.0,0.0,0.3,36,0.8,72.0,GOOD,0,2026-05-13 21:04:07
1,2026-05-13 14:50:46,58.3,0.0,0.9,52,61.3,0.0,0.8,70,1.7,79.0,GOOD,0,2026-05-13 14:50:46
